"sent1_id","sent2_id","annotation","annotator_id"
"B0074703CM_102_ANONYMOUS:1","B0074703CM_288_ANONYMOUS:0","2","A"
"B0074703CM_102_ANONYMOUS:1","B0074703CM_288_ANONYMOUS:0","3","D"
"B0074703CM_102_ANONYMOUS:1","B0074703CM_288_ANONYMOUS:0","3","C"
"B0074703CM_102_ANONYMOUS:1","B0074703CM_288_ANONYMOUS:0","3","B"
"B0074703CM_102_ANONYMOUS:1","B0074703CM_73_ANONYMOUS:14","3","E"
"B0074703CM_102_ANONYMOUS:1","B0074703CM_73_ANONYMOUS:14","3","A"
"B0074703CM_102_ANONYMOUS:1","B0074703CM_73_ANONYMOUS:14","2","C"
"B0074703CM_102_ANONYMOUS:1","B0074703CM_73_ANONYMOUS:14","3","B"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_102_ANONYMOUS:7","3","A"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_102_ANONYMOUS:7","2","B"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_102_ANONYMOUS:7","2","C"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_149_ANONYMOUS:2","2","B"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_149_ANONYMOUS:2","1","E"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_149_ANONYMOUS:2","1","A"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_149_ANONYMOUS:2","1","C"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_166_ANONYMOUS:0","3","B"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_166_ANONYMOUS:0","3","C"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_166_ANONYMOUS:0","2","E"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_166_ANONYMOUS:0","3","A"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_166_ANONYMOUS:0","3","D"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_194_ANONYMOUS:6","3","B"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_194_ANONYMOUS:6","3","A"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_194_ANONYMOUS:6","3","D"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_194_ANONYMOUS:6","2","C"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_63_ANONYMOUS:8","4","D"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_63_ANONYMOUS:8","3","B"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_63_ANONYMOUS:8","2","C"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_63_ANONYMOUS:8","3","A"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_97_ANONYMOUS:3","2","B"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_97_ANONYMOUS:3","3","C"
"B0074703CM_102_ANONYMOUS:3","B0074703CM_97_ANONYMOUS:3","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_102_ANONYMOUS:5","4","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_102_ANONYMOUS:5","3","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_102_ANONYMOUS:5","4","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_148_ANONYMOUS:1","1","E"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_148_ANONYMOUS:1","4","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_148_ANONYMOUS:1","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_148_ANONYMOUS:1","3","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_148_ANONYMOUS:1","4","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_159_ANONYMOUS:2","3","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_159_ANONYMOUS:2","3","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_159_ANONYMOUS:2","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_159_ANONYMOUS:2","3","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_173_ANONYMOUS:4","1","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_173_ANONYMOUS:4","0","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_173_ANONYMOUS:4","1","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_173_ANONYMOUS:4","1","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_182_ANONYMOUS:2","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_182_ANONYMOUS:2","3","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_182_ANONYMOUS:2","3","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_192_ANONYMOUS:14","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_192_ANONYMOUS:14","3","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_192_ANONYMOUS:14","2","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_192_ANONYMOUS:14","3","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_224_ANONYMOUS:15","0","E"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_224_ANONYMOUS:15","2","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_224_ANONYMOUS:15","3","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_224_ANONYMOUS:15","3","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:0","3","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:0","2","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:0","2","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:6","4","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:6","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:6","3","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:6","4","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:9","3","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:9","3","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:9","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:9","3","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_288_ANONYMOUS:3","4","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_288_ANONYMOUS:3","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_288_ANONYMOUS:3","4","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_288_ANONYMOUS:3","4","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_73_ANONYMOUS:15","2","E"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_73_ANONYMOUS:15","3","B"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_73_ANONYMOUS:15","3","D"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_73_ANONYMOUS:15","3","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_73_ANONYMOUS:15","3","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_73_ANONYMOUS:2","2","A"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_73_ANONYMOUS:2","3","C"
"B0074703CM_102_ANONYMOUS:4","B0074703CM_73_ANONYMOUS:2","3","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_148_ANONYMOUS:1","4","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_148_ANONYMOUS:1","4","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_148_ANONYMOUS:1","3","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_159_ANONYMOUS:2","3","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_159_ANONYMOUS:2","2","D"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_159_ANONYMOUS:2","2","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_182_ANONYMOUS:2","3","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_182_ANONYMOUS:2","3","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_182_ANONYMOUS:2","4","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_182_ANONYMOUS:2","3","D"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_192_ANONYMOUS:14","3","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_192_ANONYMOUS:14","3","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_192_ANONYMOUS:14","3","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_224_ANONYMOUS:15","1","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_224_ANONYMOUS:15","2","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_224_ANONYMOUS:15","2","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:0","2","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:0","3","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:0","3","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:6","4","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:6","3","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:6","1","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:9","3","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:9","2","D"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:9","3","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_227_ANONYMOUS:9","3","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_282_ANONYMOUS:7","1","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_282_ANONYMOUS:7","2","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_282_ANONYMOUS:7","2","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_282_ANONYMOUS:7","1","D"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_288_ANONYMOUS:3","4","E"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_288_ANONYMOUS:3","4","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_288_ANONYMOUS:3","3","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_288_ANONYMOUS:3","4","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_73_ANONYMOUS:15","2","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_73_ANONYMOUS:15","3","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_73_ANONYMOUS:15","3","C"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_73_ANONYMOUS:2","3","A"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_73_ANONYMOUS:2","3","B"
"B0074703CM_102_ANONYMOUS:5","B0074703CM_73_ANONYMOUS:2","3","C"
"B0074703CM_102_ANONYMOUS:6","B0074703CM_148_ANONYMOUS:36","3","B"
"B0074703CM_102_ANONYMOUS:6","B0074703CM_148_ANONYMOUS:36","3","C"
"B0074703CM_102_ANONYMOUS:6","B0074703CM_148_ANONYMOUS:36","4","D"
"B0074703CM_102_ANONYMOUS:6","B0074703CM_194_ANONYMOUS:2","2","E"
"B0074703CM_102_ANONYMOUS:6","B0074703CM_194_ANONYMOUS:2","3","B"
"B0074703CM_102_ANONYMOUS:6","B0074703CM_194_ANONYMOUS:2","4","C"
