pair_id,sent1_text,sent2_text,domain,group,avg
pair_1,Like so many others who do this there is a learning curve and I'm excited to do it.,"Out of all the laptops I have owned, this is by far the best!",Laptop,Same,2.75
pair_10,"It takes less time to power up, and if you just close the case it go into sleep mode.","Boot time is super fast, around anywhere from 35 seconds to 1 minute.",Laptop,Same,3
pair_100,I would recommend it to anyone.,I would not hesitate recommending  this to anyone.,Laptop,Same,3.75
pair_1000,you are with a hot date and he/she has an urge for sushi...then this might be the place.,"the fish was fresh, though it was cut very thin.",Restaurant,Same,2.333333333
pair_1001,"the fish was fresh, though it was cut very thin.",had many dishes but the BEST was the lobster 3 ways.,Restaurant,Same,3.25
pair_1002,"the fish was fresh, though it was cut very thin.","Everything, and I mean everything on the menu is delectable.",Restaurant,Same,2.333333333
pair_1003,great service.,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,Restaurant,Same,3.25
pair_1004,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"The food is fantastic, and the waiting staff has been perfect every single time we've been there.",Restaurant,Same,3.5
pair_1005,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Two thumbs up!,Restaurant,Same,3
pair_1006,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Be sure to try the oyster roll.,Restaurant,Same,3
pair_1007,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Hands down, the best tuna I have ever had.",Restaurant,Same,3
pair_1008,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi was excellent and the wait staff was quick.,Restaurant,Same,3.75
pair_1009,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Good Sushi, High Price ",Restaurant,Same,2.5
pair_101,I would recommend it to anyone.,"If your looking to be a trendy hipster who can't live without a Mac, it's a great buy.",Laptop,Different,2.333333333
pair_1010,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Everything you want and more, very fresh.",Restaurant,Same,3.333333333
pair_1011,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi here is delicious!,Restaurant,Same,3.666666667
pair_1012,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Perfect on a cold day.,Restaurant,Same,2.5
