pair_id,model_similarity
pair_1,0.340200137
pair_10,0.421850762
pair_100,0.57318827
pair_1000,0.343663187
pair_1001,0.339142665
pair_1002,0.327980349
pair_1003,0.352067912
pair_1004,0.386394523
pair_1005,0.364731689
pair_1006,0.340948999
pair_1007,0.355119561
pair_1008,0.388415641
pair_1009,0.356536777
pair_101,0.332246353
pair_1010,0.370881041
pair_1011,0.3578315
pair_1012,0.361799588
pair_1013,0.339674235
pair_1014,0.344332638
pair_1015,0.342229674
pair_1016,0.338436964
pair_1017,0.346539477
pair_1018,0.323856046
pair_1019,0.36005995
pair_102,0.311553802
pair_1020,0.329867978
pair_1021,0.323359487
pair_1022,0.358077817
pair_1023,0.352866688
pair_1024,0.409905865
pair_1025,0.301606537
pair_1026,0.308106157
pair_1027,0.336238075
pair_1028,0.353153868
pair_1029,0.308323842
pair_103,0.315791688
pair_1030,0.371746044
pair_1031,0.306095754
pair_1032,0.374427342
pair_1033,0.457810032
pair_1034,0.318757529
pair_1035,0.337525542
pair_1036,0.350643118
pair_1037,0.331607963
pair_1038,0.402555204
pair_1039,0.349975194
pair_104,0.31124963
pair_1040,0.350452168
pair_1041,0.302572292
pair_1042,0.342606523
pair_1043,0.311518592
pair_1044,0.302750493
pair_1045,0.297074906
pair_1046,0.331140646
pair_1047,0.313349669
pair_1048,0.295251229
pair_1049,0.299874506
pair_105,0.393428557
pair_1050,0.319064548
pair_1051,0.340051057
pair_1052,0.320254477
pair_1053,0.372875455
pair_1054,0.572571867
pair_1055,0.334713389
pair_1056,0.327224862
pair_1057,0.363711473
pair_1058,0.349025504
pair_1059,0.297685029
pair_106,0.344985271
pair_1060,0.360719019
pair_1061,0.322800633
pair_1062,0.378017782
pair_1063,0.345986799
pair_1064,0.369922915
pair_1065,0.497719464
pair_1066,0.308256868
pair_1067,0.371923008
pair_1068,0.356533482
pair_1069,0.365753994
pair_107,0.403956282
pair_1070,0.373927746
pair_1071,0.360021492
pair_1072,0.35630491
pair_1073,0.361885473
pair_1074,0
pair_1075,0.361917477
pair_1076,0.367680444
pair_1077,0.284802524
pair_1078,0.369651846
pair_1079,0.377844741
pair_108,0.364145653
pair_1080,0.348495571
pair_1081,0.322982428
pair_1082,0.292235894
pair_1083,0.325991602
pair_1084,0.32239595
pair_1085,0.352705517
pair_1086,0.361127596
pair_1087,0.35871676
pair_1088,0.345346135
pair_1089,0.334842509
pair_109,0.383515121
pair_1090,0.320331474
pair_1091,0.377064864
pair_1092,0.325227235
pair_1093,0.32062551
pair_1094,0.343283354
pair_1095,0.288465563
pair_1096,0.320103369
pair_1097,0.332979024
pair_1098,0.348019449
pair_1099,0.391636393
pair_11,0.331527057
pair_110,0.346428729
pair_1100,0.312934576
pair_1101,0.310341247
pair_1102,0.306589453
pair_1103,0.323324635
pair_1104,0.356002958
pair_1105,0.38860477
pair_1106,0.338609263
pair_1107,0.349148294
pair_1108,0.332656312
pair_1109,0.396485046
pair_111,0.350887082
pair_1110,0.531587908
pair_1111,0.386714697
pair_1112,0.463185451
pair_1113,0.367894487
pair_1114,0.358046437
pair_1115,0.351344815
pair_1116,0.320913414
pair_1117,0.354141402
pair_1118,0.33540804
pair_1119,0.455015675
pair_112,0.327478458
pair_1120,0.405197812
pair_1121,0.354247908
pair_1122,0.405740925
pair_1123,0.329101411
pair_1124,0.303668594
pair_1125,0.335443861
pair_1126,0.34705858
pair_1127,0.362786255
pair_1128,0.396126752
pair_1129,0.350894444
pair_113,0.340368301
pair_1130,0.2741474
pair_1131,0.288068118
pair_1132,0.340341269
pair_1133,0.321848523
pair_1134,0.315075445
pair_1135,0.327629422
pair_1136,0.337288191
pair_1137,0.349298288
pair_1138,0.355590952
pair_1139,0.330223573
pair_114,0.339809236
pair_1140,0.352364686
pair_1141,0.31729365
pair_1142,0.358958204
pair_1143,0.336753937
pair_1144,0.365597422
pair_1145,0.310025454
pair_1146,0.362906316
pair_1147,0.400450536
pair_1148,0.354172109
pair_1149,0.348293685
pair_115,0.333648929
pair_1150,0.386919006
pair_1151,0.374828016
pair_1152,0.370460361
pair_1153,0.343066202
pair_1154,0.399326009
pair_1155,0.393887069
pair_1156,0.35037024
pair_1157,0.341251935
pair_1158,0.334576539
pair_1159,0.332320928
pair_116,0.346936326
pair_1160,0.350626893
pair_1161,0.335332372
pair_1162,0.339149506
pair_1163,0.336211192
pair_1164,0.341648518
pair_1165,0.351924602
pair_1166,0.371471216
pair_1167,0.366475495
pair_1168,0.328917439
pair_1169,0.353789759
pair_117,0.288158818
pair_1170,0.35211978
pair_1171,0.315238261
pair_1172,0.339474815
pair_1173,0.342398067
pair_1174,0.322371621
pair_1175,0.367524235
pair_1176,0.327206864
pair_1177,0.331521039
pair_1178,0.406912404
pair_1179,0.387128178
pair_118,0.25580012
pair_1180,0.40322622
pair_1181,0.335752962
pair_1182,0.440473712
pair_1183,0.353715738
pair_1184,0.337616678
pair_1185,0.372596961
pair_1186,0.369241747
pair_1187,0.357790275
pair_1188,0.401657031
pair_1189,0.38308506
pair_119,0.266946459
pair_1190,0.315223718
pair_1191,0.339134909
pair_1192,0.351889026
pair_1193,0.325265962
pair_1194,0.327484739
pair_1195,0.317414564
pair_1196,0.353662574
pair_1197,0.362441299
pair_1198,0.32736529
pair_1199,0.336957166
pair_12,0.424215067
pair_120,0.371885137
pair_1200,0.466157805
pair_1201,0.395951368
pair_1202,0.431610478
pair_1203,0.440448294
pair_1204,0.375659007
pair_1205,0.461547827
pair_1206,0.452404256
pair_1207,0.373947426
pair_1208,0.417199227
pair_1209,0.410538793
pair_121,0.321854103
pair_1210,0.461075667
pair_1211,0.394843644
pair_1212,0.364854313
pair_1213,0.401011501
pair_1214,0.359566186
pair_1215,0.359584338
pair_1216,0.374801185
pair_1217,0.367783787
pair_1218,0.359031093
pair_1219,0.347584157
pair_122,0.286342478
pair_1220,0.39029374
pair_1221,0.34943557
pair_1222,0.315006633
pair_1223,0.395093503
pair_1224,0.374277895
pair_1225,0.38969638
pair_1226,0.325797132
pair_1227,0.347229913
pair_1228,0.37679981
pair_1229,0.417935602
pair_123,0.336879532
pair_1230,0.329590967
pair_1231,0.400634038
pair_1232,0.355313494
pair_1233,0.296730518
pair_1234,0.34508651
pair_1235,0.372482287
pair_1236,0.350125645
pair_1237,0.402310562
pair_1238,0.424615449
pair_1239,0.295992298
pair_124,0.36334265
pair_1240,0.350020625
pair_1241,0.335192219
pair_1242,0.335828606
pair_1243,0.411103167
pair_1244,0.28493932
pair_1245,0.335303692
pair_1246,0.366523191
