pair_id,model_similarity
pair_1,0.270756219
pair_10,0.131051872
pair_100,0.880085635
pair_1000,0.198262483
pair_1001,0.261575636
pair_1002,0.115077975
pair_1003,0.278362193
pair_1004,0.547080744
pair_1005,0.063222002
pair_1006,0.250256902
pair_1007,0.290512495
pair_1008,0.419250284
pair_1009,0.265374325
pair_101,0.18481512
pair_1010,0.296587402
pair_1011,0.354375102
pair_1012,0.09902402
pair_1013,0.202393502
pair_1014,0.211243221
pair_1015,0.347217408
pair_1016,0.401619591
pair_1017,0.111792282
pair_1018,0.245412521
pair_1019,0.173445594
pair_102,0.194698383
pair_1020,0.022779737
pair_1021,0.296163073
pair_1022,-0.119426746
pair_1023,0.44115657
pair_1024,0.448768607
pair_1025,0.122992667
pair_1026,0.14883757
pair_1027,0.148966792
pair_1028,0.101267762
pair_1029,0.159422792
pair_103,0.047530868
pair_1030,0.328910159
pair_1031,-0.040455244
pair_1032,0.332020835
pair_1033,0.701889886
pair_1034,0.505643196
pair_1035,0.260417953
pair_1036,0.308871484
pair_1037,0.169342166
pair_1038,0.446355945
pair_1039,0.37090437
pair_104,0.000243379
pair_1040,0.17852109
pair_1041,0.255656065
pair_1042,0.162165191
pair_1043,0.205574086
pair_1044,0.553702878
pair_1045,0.18845907
pair_1046,0.455552969
pair_1047,0.631969654
pair_1048,0.582038318
pair_1049,0.576153942
pair_105,0.156810557
pair_1050,0.218346022
pair_1051,0.281947589
pair_1052,0.410829376
pair_1053,0.348860505
pair_1054,0.444508275
pair_1055,0.272358231
pair_1056,0.261466067
pair_1057,0.522522501
pair_1058,0.165393286
pair_1059,0.047488704
pair_106,0.08930979
pair_1060,0.658675962
pair_1061,0.326812165
pair_1062,0.268154802
pair_1063,0.441144102
pair_1064,0.499534328
pair_1065,0.33486687
pair_1066,0.504095609
pair_1067,0.224087275
pair_1068,0.747333414
pair_1069,0.630191591
pair_107,0.285712697
pair_1070,0.41771024
pair_1071,0.482196158
pair_1072,0.64029392
pair_1073,0.165553106
pair_1074,0.041488954
pair_1075,0.005712158
pair_1076,0.419109431
pair_1077,0.451608773
pair_1078,0.160029211
pair_1079,0.427249868
pair_108,0.305969907
pair_1080,0.60404733
pair_1081,0.232138362
pair_1082,0.421621982
pair_1083,0.352872972
pair_1084,0.233666155
pair_1085,0.367469206
pair_1086,0.281007548
pair_1087,0.489576099
pair_1088,0.19953237
pair_1089,0.007444549
pair_109,0.06297634
pair_1090,0.498823961
pair_1091,0.127741816
pair_1092,0.430126892
pair_1093,0.459721394
pair_1094,0.367629906
pair_1095,0.378851832
pair_1096,0.080802752
pair_1097,0.565337635
pair_1098,0.350680127
pair_1099,0.484343679
pair_11,0.090449859
pair_110,0.116686329
pair_1100,0.308711633
pair_1101,0.39249476
pair_1102,0.345650302
pair_1103,0.128385122
pair_1104,0.227548361
pair_1105,0.287954945
pair_1106,0.178882705
pair_1107,0.247689943
pair_1108,0.126208765
pair_1109,0.225724163
pair_111,0.133283175
pair_1110,0.305061558
pair_1111,0.534364145
pair_1112,0.547178441
pair_1113,0.429229428
pair_1114,0.483680302
pair_1115,0.304278754
pair_1116,0.082629507
pair_1117,0.263420444
pair_1118,0.183097588
pair_1119,0.58913282
pair_112,0.440509826
pair_1120,0.430056809
pair_1121,0.120676318
pair_1122,0.459357702
pair_1123,0.412836117
pair_1124,0.180067919
pair_1125,0.197494399
pair_1126,0.16449405
pair_1127,0.344256934
pair_1128,0.047375217
pair_1129,0.336127964
pair_113,0.135705139
pair_1130,0.223556764
pair_1131,0.152450545
pair_1132,0.398809685
pair_1133,0.134354847
pair_1134,0.156278583
pair_1135,0.010958143
pair_1136,0.017626461
pair_1137,0.255846923
pair_1138,0.125396569
pair_1139,-0.103716389
pair_114,0.158446242
pair_1140,0.237842734
pair_1141,0.112478029
pair_1142,0.466074888
pair_1143,0.213322944
pair_1144,0.236435175
pair_1145,-0.018278657
pair_1146,0.262157138
pair_1147,0.170536543
pair_1148,0.229577693
pair_1149,0.259737818
pair_115,0.115395071
pair_1150,0.298110534
pair_1151,0.427141973
pair_1152,0.407705138
pair_1153,0.198910946
pair_1154,0.305688904
pair_1155,0.179744466
pair_1156,0.220699793
pair_1157,0.277088702
pair_1158,0.242875416
pair_1159,0.302676919
pair_116,0.001770663
pair_1160,0.234951646
pair_1161,0.171221931
pair_1162,0.236768478
pair_1163,0.1541763
pair_1164,0.133716029
pair_1165,0.117485124
pair_1166,-0.031044625
pair_1167,0.049207336
pair_1168,0.125075674
pair_1169,0.262433849
pair_117,-0.046991826
pair_1170,0.256163234
pair_1171,0.247969658
pair_1172,0.24313844
pair_1173,0.313952485
pair_1174,0.230322924
pair_1175,0.102726323
pair_1176,0.136421706
pair_1177,0.337971662
pair_1178,0.279043056
pair_1179,0.210577072
pair_118,-0.063695823
pair_1180,0.449735022
pair_1181,0.355448782
pair_1182,0.662910923
pair_1183,0.202222626
pair_1184,0.170802182
pair_1185,0.081147493
pair_1186,0.452313667
pair_1187,0.417066214
pair_1188,0.563835114
pair_1189,0.492682638
pair_119,0.128611984
pair_1190,0.340785453
pair_1191,0.485262092
pair_1192,0.35138797
pair_1193,0.048617093
pair_1194,0.172807614
pair_1195,0.43098965
pair_1196,0.330736426
pair_1197,0.336569359
pair_1198,0.15509578
pair_1199,0.459051629
pair_12,0.069627525
pair_120,0.355927141
pair_1200,0.696659976
pair_1201,0.304885464
pair_1202,0.592242648
pair_1203,0.516792102
pair_1204,0.084598792
pair_1205,0.415737606
pair_1206,0.280516142
pair_1207,0.125308509
pair_1208,0.475807542
pair_1209,0.408898417
pair_121,0.408373856
pair_1210,0.420552751
pair_1211,0.373200015
pair_1212,0.278265414
pair_1213,0.517110439
pair_1214,0.533764383
pair_1215,0.329385683
pair_1216,0.661837059
pair_1217,0.143617386
pair_1218,0.133085758
pair_1219,0.237908074
pair_122,0.136496764
pair_1220,0.332085097
pair_1221,0.464482577
pair_1222,0.19340898
pair_1223,0.66881003
pair_1224,0.535611881
pair_1225,0.424956411
pair_1226,0.337163082
pair_1227,0.189991865
pair_1228,0.476738782
pair_1229,0.544053955
pair_123,0.222793466
pair_1230,0.122587292
pair_1231,0.614356435
pair_1232,0.300075447
pair_1233,0.052832389
pair_1234,0.447358145
pair_1235,0.53199348
pair_1236,0.156967595
pair_1237,0.686181126
pair_1238,0.344041844
pair_1239,0.328661658
pair_124,0.079579045
pair_1240,0.830333736
pair_1241,0.15373595
pair_1242,0.24513876
pair_1243,0.486796118
pair_1244,0.293002991
pair_1245,0.241555499
pair_1246,0.513356447
pair_1247,0.587122086
pair_1248,0.181049335
pair_1249,0.167544322
pair_125,0.048419097
pair_1250,0.27104561
pair_1251,0.18033267
pair_1252,0.164799573
pair_1253,0.305967428
pair_1254,-0.022932983
pair_1255,0.277808453
pair_1256,0.416028992
pair_1257,0.086500744
pair_1258,0.025371988
pair_1259,0.257749178
pair_126,0.193080035
pair_1260,0.607440721
pair_1261,0.514055831
pair_1262,0.064402445
pair_1263,0.112093479
pair_1264,0.545570791
pair_1265,0.711237463
pair_1266,0.16798615
pair_1267,0.486335763
pair_1268,0.392700849
pair_1269,0.376569366
pair_127,0.256801701
pair_1270,0.337087238
pair_1271,0.036010058
pair_1272,0.077008316
pair_1273,0.463942703
pair_1274,0.509586894
pair_1275,0.209853691
pair_1276,0.671750621
pair_1277,0.308820616
pair_1278,0.157570279
pair_1279,0.052828057
pair_128,0.064281226
pair_1280,0.387499869
pair_1281,0.101792504
pair_1282,0.137116389
pair_1283,0.551652153
pair_1284,0.212322712
pair_1285,0.297862304
pair_1286,0.364547834
pair_1287,0.605010427
pair_1288,0.326947286
pair_1289,0.436367246
pair_129,0.077564413
pair_1290,0.788676615
pair_1291,0.308340063
pair_1292,0.328029884
pair_1293,0.401626793
pair_1294,0.243506446
pair_1295,0.141384049
pair_1296,0.009783355
pair_1297,0.09250316
pair_1298,0.446342008
pair_1299,0.288321544
pair_13,0.18286086
pair_130,0.15800709
pair_1300,0.110822496
pair_1301,0.507285802
pair_1302,0.707001914
pair_1303,0.494595986
pair_1304,0.11157937
pair_1305,0.112577083
pair_1306,0.332833635
pair_1307,0.287606398
pair_1308,0.152056996
pair_1309,0.397426918
pair_131,0.250609841
pair_1310,0.238728216
pair_1311,0.741045083
pair_1312,0.48016746
pair_1313,0.208305927
pair_1314,0.546791656
pair_1315,0.280956711
pair_1316,0.210203502
pair_1317,0.254004437
pair_1318,0.11570418
pair_1319,0.57002092
pair_132,0.008391268
pair_1320,0.471320828
pair_1321,0.048652231
pair_1322,0.111523088
pair_1323,0.031797413
pair_1324,0.097224689
pair_1325,0.188777622
pair_1326,0.196164203
pair_1327,0.130891091
pair_1328,0.137972437
pair_1329,0.322014207
pair_133,0.235474124
pair_1330,-0.114572082
pair_1331,0.275367904
pair_1332,0.138981342
pair_1333,0.41179491
pair_1334,0.351730445
pair_1335,0.149971465
pair_1336,0.236934454
pair_1337,0.202477777
pair_1338,0.6542578
pair_1339,-0.086520801
pair_134,-0.000731699
pair_1340,-0.028686722
pair_1341,0.342162517
pair_1342,0.213914282
pair_1343,0.22041286
pair_1344,-0.061690577
pair_1345,0.400595754
pair_1346,0.590611348
pair_1347,0.323245736
pair_1348,0.32522657
pair_1349,0.17616276
pair_135,-0.074090124
pair_1350,0.091201018
pair_1351,0.318515215
pair_1352,0.412111747
pair_1353,0.143597952
pair_1354,0.34970453
pair_1355,0.287232447
pair_1356,-0.091033972
pair_1357,0.236597741
pair_1358,0.328491229
pair_1359,0.302898617
pair_136,0.089015917
pair_1360,0.301197091
pair_1361,0.259518386
pair_1362,0.213568568
pair_1363,0.24187922
pair_1364,0.195726614
pair_1365,0.220827759
pair_1366,0.089551026
pair_1367,-0.021428874
pair_1368,0.327848187
pair_1369,0.083837559
pair_137,0.19551138
pair_1370,0.012080989
pair_1371,0.502025205
pair_1372,0.259986789
pair_1373,0.332479162
pair_1374,0.580505033
pair_1375,-0.028570518
pair_1376,0.282205682
pair_1377,0.185112333
pair_1378,0.49171659
pair_1379,0.685774605
pair_138,0.323364608
pair_1380,0.198681159
pair_1381,0.205803045
pair_1382,0.05639051
pair_1383,0.410206676
pair_1384,0.144206243
pair_1385,0.335286384
pair_1386,0.485700017
pair_1387,-0.030634081
pair_1388,0.100688509
pair_1389,0.269072879
pair_139,0.25491092
pair_1390,0.272991554
pair_1391,0.232331586
pair_1392,-0.011616901
pair_1393,0.186927692
pair_1394,0.166416148
pair_1395,0.098012886
pair_1396,0.14038294
pair_1397,0.003996801
pair_1398,0.239469905
pair_1399,0.136331354
pair_14,0.142275107
pair_140,0.028102257
pair_1400,0.156227276
pair_1401,0.109282469
pair_1402,0.140076901
pair_1403,0.392188604
pair_1404,0.251929607
pair_1405,-0.087676478
pair_1406,-0.023717874
pair_1407,0.538730491
pair_1408,0.464908198
pair_1409,0.615083963
pair_141,0.242031259
pair_1410,0.004254253
pair_1411,0.037809281
pair_1412,0.204652817
pair_1413,0.263225611
pair_1414,0.135494204
pair_1415,0.198059554
pair_1416,0.277327661
pair_1417,-0.011646896
pair_1418,0.230377966
pair_1419,0.145564323
pair_142,0.11385515
pair_1420,0.199576582
pair_1421,0.081460377
pair_1422,0.19627848
pair_1423,0.207205543
pair_1424,0.003622066
pair_1425,0.202842727
pair_1426,0.255575203
pair_1427,0.284702943
pair_1428,0.179762413
pair_1429,0.391728514
pair_143,0.521159589
pair_1430,0.201191713
pair_1431,-0.031789189
pair_1432,0.006525068
pair_1433,0.030288513
pair_1434,-0.169474444
pair_1435,0.249604916
pair_1436,0.237258267
pair_1437,0.255253473
pair_1438,0.203006214
pair_1439,0.272854984
pair_144,0.142722967
pair_1440,0.334010092
pair_1441,0.350822639
pair_1442,0.308251574
pair_1443,0.442728089
pair_1444,0.587488718
pair_1445,0.208462505
pair_1446,0.171777169
pair_1447,0.191607764
pair_1448,0.143508681
pair_1449,0.571293568
pair_145,0.255847723
pair_1450,0.480351644
pair_1451,0.624460727
pair_1452,0.339031549
pair_1453,0.367034078
pair_1454,0.329732869
pair_1455,0.441261162
pair_1456,0.252864393
pair_1457,0.048009062
pair_1458,0.475965313
pair_1459,0.288037308
pair_146,0.573245198
pair_1460,0.54697677
pair_1461,0.51672914
pair_1462,0.311201544
pair_1463,0.323803453
pair_1464,0.433445932
pair_1465,0.559917046
pair_1466,0.311474722
pair_1467,0.458146989
pair_1468,0.459666189
pair_1469,0.195087825
pair_147,0.04679867
pair_1470,0.38265326
pair_1471,0.241019374
pair_1472,0.345280855
pair_1473,0.243346453
pair_1474,0.451279411
pair_1475,0.715974026
pair_1476,0.182241565
pair_1477,0.162003951
pair_1478,0.32231179
pair_1479,0.481950133
pair_148,0.490899746
pair_1480,0.342745695
pair_1481,0.580059025
pair_1482,0.621854286
pair_1483,0.3756477
pair_1484,0.424383618
pair_1485,0.0921707
pair_1486,0.095685266
pair_1487,0.356329272
pair_1488,0.246617856
pair_1489,0.32627452
pair_149,0.253200431
pair_1490,0.321114183
pair_1491,0.329718092
pair_1492,0.289231328
pair_1493,0.24268842
pair_1494,0.551211911
pair_1495,-0.054396642
pair_1496,0.073525083
pair_1497,0.320823901
pair_1498,0.216527007
pair_1499,0.019431475
pair_15,0.233559288
pair_150,0.534478989
pair_1500,0.311981109
pair_1501,0.234652995
pair_1502,0.009091727
pair_1503,0.27512328
pair_1504,0.161651936
pair_1505,0.415455037
pair_1506,0.29462483
pair_1507,0.560501542
pair_1508,0.236913742
pair_1509,0.1758578
pair_151,0.650690563
pair_1510,0.200060123
pair_1511,0.202811357
pair_1512,0.368251713
pair_1513,0.226573377
pair_1514,0.640738245
pair_1515,0.126302764
pair_1516,0.275181815
pair_1517,0.151450422
pair_1518,0.377824864
pair_1519,0.327181792
pair_152,0.043564236
pair_1520,0.278678915
pair_1521,0.516430953
pair_1522,0.510318901
pair_1523,-0.082706318
pair_1524,0.051226686
pair_1525,0.005476099
pair_1526,0.175172403
pair_1527,0.181565001
pair_1528,0.179239125
pair_1529,0.159280188
pair_153,0.117198752
pair_1530,0.138351634
pair_1531,-0.074154624
pair_1532,0.167284153
pair_1533,0.244956362
pair_1534,0.17939392
pair_1535,0.201466314
pair_1536,0.095726272
pair_1537,0.097546195
pair_1538,0.208734524
pair_1539,0.415667985
pair_154,0.14104177
pair_1540,0.36187838
pair_1541,0.242410439
pair_1542,0.184012019
pair_1543,0.202937976
pair_1544,0.094964602
pair_1545,0.048328012
pair_1546,0.199018371
pair_1547,0.269514913
pair_1548,0.134539831
pair_1549,0.411214662
pair_155,0.264507136
pair_1550,0.370086475
pair_1551,0.48338863
pair_1552,0.75190592
pair_1553,0.443956929
pair_1554,0.500693003
pair_1555,0.315133511
pair_1556,0.234155589
pair_1557,0.200809148
pair_1558,0.546586661
pair_1559,0.154093766
pair_156,0.375434369
pair_1560,0.230922924
pair_1561,0.177043607
pair_1562,0.143169067
pair_1563,0.460262337
pair_1564,0.305564936
pair_1565,0.287450123
pair_1566,0.128344958
pair_1567,0.157910527
pair_1568,0.285466888
pair_1569,0.637708581
pair_157,0.27830523
pair_1570,-0.042217974
pair_1571,0.489773706
pair_1572,-0.033267703
pair_1573,0.050900608
pair_1574,0.283438286
pair_1575,0.369245653
pair_1576,0.173212658
pair_1577,0.200202519
pair_1578,0.316926047
pair_1579,0.064547573
pair_158,0.099525596
pair_1580,0.290235105
pair_1581,0.160254999
pair_1582,-0.023259333
pair_1583,0.503688841
pair_1584,0.014676317
pair_1585,-0.011882786
pair_1586,-0.064458707
pair_1587,0.368116069
pair_1588,0.180008137
pair_1589,-0.035889302
pair_159,0.240578922
pair_1590,-0.124451382
pair_1591,0.319561606
pair_1592,0.1021603
pair_1593,0.244216616
pair_1594,0.302003287
pair_1595,0.302491537
pair_1596,0.206834325
pair_1597,-0.059228945
pair_1598,0.373717432
pair_1599,0.282415177
pair_16,-0.062344533
pair_160,0.414833931
pair_1600,0.064650586
pair_1601,0.406270022
pair_1602,-0.070458816
pair_1603,-0.114334974
pair_1604,0.598406916
pair_1605,0.118360161
pair_1606,0.016507218
pair_1607,0.243709237
pair_1608,0.450425594
pair_1609,0.218063792
pair_161,0.477315145
pair_1610,0.564202967
pair_1611,0.287796154
pair_1612,0.242917986
pair_1613,0.217052745
pair_1614,0.323508084
pair_1615,0.193557022
pair_1616,0.584323918
pair_1617,0.606411908
pair_1618,0.247886243
pair_1619,0.500561623
pair_162,0.029275817
pair_1620,0.239820582
pair_1621,0.371642728
pair_1622,0.414122679
pair_1623,0.273727074
pair_1624,0.216746792
pair_1625,0.528682336
pair_1626,0.436264856
pair_1627,0.188664497
pair_1628,0.345750824
pair_1629,0.571925634
pair_163,0.210797083
pair_1630,0.136844741
pair_1631,0.412561869
pair_1632,0.496750188
pair_1633,0.340693388
pair_1634,0.099888819
pair_1635,0.212575209
pair_164,0.166641732
pair_165,0.075975886
pair_166,0.338290737
pair_167,-0.012197669
pair_168,0.230318538
pair_169,0.289856016
pair_17,0.110489204
pair_170,0.2263205
pair_171,0.397587919
pair_172,0.350610303
pair_173,0.259494769
pair_174,0.244795353
pair_175,0.280441034
pair_176,0.365751553
pair_177,0.693859844
pair_178,0.296950977
pair_179,0.26066143
pair_18,0.262025875
pair_180,0.571672886
pair_181,0.328273852
pair_182,0.302333293
pair_183,-0.077234309
pair_184,0.638442957
pair_185,0.147376632
pair_186,0.054062231
pair_187,0.240831822
pair_188,0.436583634
pair_189,0.189920901
pair_19,0.294203724
pair_190,0.401923343
pair_191,0.291955814
pair_192,0.442905157
pair_193,0.269423844
pair_194,0.199656391
pair_195,-0.012828544
pair_196,0.072860444
pair_197,0.040204644
pair_198,0.288082069
pair_199,0.175732414
pair_2,0.368048839
pair_20,0.010665668
pair_200,0.417875503
pair_201,0.058772396
pair_202,0.113931218
pair_203,0.04670277
pair_204,-0.030374584
pair_205,0.044774982
pair_206,0.068655149
pair_207,0.243002502
pair_208,0.157378974
pair_209,0.220923095
pair_21,-0.050858581
pair_210,0.060101638
pair_211,0.015641103
pair_212,0.331399605
pair_213,0.222941335
pair_214,0.094128558
pair_215,0.35222427
pair_216,0.173116993
pair_217,0.321199918
pair_218,0.149690175
pair_219,0.095288242
pair_22,0.1543366
pair_220,0.429261003
pair_221,0.260582378
pair_222,0.475970092
pair_223,-0.086549074
pair_224,-0.021993428
pair_225,-0.064240942
pair_226,-0.048823906
pair_227,0.449169294
pair_228,0.469033884
pair_229,0.392910501
pair_23,0.146576629
pair_230,0.266788676
pair_231,0.154971421
pair_232,-0.004864672
pair_233,0.242070578
pair_234,0.410054404
pair_235,0.202282092
pair_236,0.40101296
pair_237,0.15795203
pair_238,-0.087127661
pair_239,0.076075342
pair_24,0.639633835
pair_240,-0.083530588
pair_241,0.312089888
pair_242,0.434767769
pair_243,0.234629023
pair_244,0.092298002
pair_245,0.337192493
pair_246,0.274561957
pair_247,0.110354427
pair_248,0.439778013
pair_249,0.094127369
pair_25,0.159493781
pair_250,0.555438253
pair_251,0.479911262
pair_252,0.485368103
pair_253,0.107179264
pair_254,0.482387204
pair_255,0.289380862
pair_256,0.29216978
pair_257,0.148667204
pair_258,0.595888095
pair_259,0.217423229
pair_26,0.077209989
pair_260,0.298154257
pair_261,0.347137198
pair_262,0.149025665
pair_263,0.397575119
pair_264,0.192843782
pair_265,0.255042493
pair_266,0.37217192
pair_267,0.454481452
pair_268,0.23447108
pair_269,0.218435008
pair_27,0.186543476
pair_270,0.229855995
pair_271,0.190362136
pair_272,0.071197292
pair_273,0.481533477
pair_274,0.141610105
pair_275,0.326549323
pair_276,0.475898491
pair_277,-0.025222811
pair_278,0.286406128
pair_279,0.345304917
pair_28,0.315614557
pair_280,0.154624503
pair_281,0.70099966
pair_282,0.284804299
pair_283,0.551705141
pair_284,0.571244027
pair_285,0.114612013
pair_286,0.119011772
pair_287,-0.143233904
pair_288,0.155627857
pair_289,0.244551914
pair_29,0.543266999
pair_290,0.337614498
pair_291,0.219774944
pair_292,0.058404704
pair_293,-0.108444196
pair_294,0.287583722
pair_295,-0.1251811
pair_296,0.07187789
pair_297,-0.113718389
pair_298,0.177364436
pair_299,0.067557159
pair_3,0.45877019
pair_30,0.309474554
pair_300,-0.045405053
pair_301,0.372836552
pair_302,0.013586993
pair_303,0.323450835
pair_304,0.249870161
pair_305,0.330685674
