pair_id,sent1_text,sent2_text,domain,group,avg,model_similarity,model_similarity2
pair_1,Like so many others who do this there is a learning curve and I'm excited to do it.,"Out of all the laptops I have owned, this is by far the best!",Laptop,Same,2.75,0.8040804372153458,0.8040804266929626
pair_10,"It takes less time to power up, and if you just close the case it go into sleep mode.","Boot time is super fast, around anywhere from 35 seconds to 1 minute.",Laptop,Same,3.0,-0.22489866863983043,-0.22489866614341736
pair_100,I would recommend it to anyone.,I would not hesitate recommending  this to anyone.,Laptop,Same,3.75,0.948171201504773,0.9481712579727173
pair_1000,you are with a hot date and he/she has an urge for sushi...then this might be the place.,"the fish was fresh, though it was cut very thin.",Restaurant,Same,2.333333333,0.04530504370874444,0.045305036008358
pair_1001,"the fish was fresh, though it was cut very thin.",had many dishes but the BEST was the lobster 3 ways.,Restaurant,Same,3.25,-0.03778358217367006,-0.03778357803821564
pair_1002,"the fish was fresh, though it was cut very thin.","Everything, and I mean everything on the menu is delectable.",Restaurant,Same,2.333333333,-0.152745772961427,-0.15274576842784882
pair_1003,great service.,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,Restaurant,Same,3.25,0.8958416793961503,0.8958417177200317
pair_1004,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"The food is fantastic, and the waiting staff has been perfect every single time we've been there.",Restaurant,Same,3.5,0.9694839581111186,0.9694839119911194
pair_1005,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Two thumbs up!,Restaurant,Same,3.0,0.44536269540813045,0.4453626573085785
pair_1006,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Be sure to try the oyster roll.,Restaurant,Same,3.0,0.46551536807152327,0.4655153155326843
pair_1007,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Hands down, the best tuna I have ever had.",Restaurant,Same,3.0,0.9400173518208286,0.9400172829627991
pair_1008,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi was excellent and the wait staff was quick.,Restaurant,Same,3.75,0.9542780835883833,0.9542781114578247
pair_1009,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Good Sushi, High Price ",Restaurant,Same,2.5,0.8740255449211071,0.8740254640579224
pair_101,I would recommend it to anyone.,"If your looking to be a trendy hipster who can't live without a Mac, it's a great buy.",Laptop,Different,2.333333333,0.8050705654986968,0.8050705790519714
pair_1010,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Everything you want and more, very fresh.",Restaurant,Same,3.333333333,0.9407284247237616,0.9407283067703247
pair_1011,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi here is delicious!,Restaurant,Same,3.666666667,0.9556316349538904,0.9556315541267395
pair_1012,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Perfect on a cold day.,Restaurant,Same,2.5,0.9049829824136781,0.9049829244613647
pair_1013,I have eaten here three times and have found the quality and variety of the fish to be excellent.,– The food was not great & the waiters were rude.,Restaurant,Different,1.5,-0.40799091654355757,-0.40799087285995483
pair_1014,I have eaten here three times and have found the quality and variety of the fish to be excellent.,you are with a hot date and he/she has an urge for sushi...then this might be the place.,Restaurant,Same,3.0,0.5008306377618346,0.5008305311203003
pair_1015,I have eaten here three times and have found the quality and variety of the fish to be excellent.,They pay such detail to everything from miso soup to complex rolls.,Restaurant,Same,3.0,0.7553374989503284,0.7553374767303467
pair_1016,"However, the value and service are both severely lacking.","plus, i am allergic to rice, and the waitstaff was unbelievably accomodating -- didn't even bat an eye!",Restaurant,Different,1.8,0.2874231043984088,0.28742313385009766
pair_1017,"However, the value and service are both severely lacking.",and the waiter suggested a perfect sake!!,Restaurant,Different,1.25,-0.37518925394225033,-0.3751892149448395
pair_1018,"However, the value and service are both severely lacking.","The only problem would be the wait, but we usually just have a drink in the front while waiting.",Restaurant,Different,2.4,0.06414007330182225,0.06414007395505905
