pair_id,sent1_text,sent2_text,domain,group,avg,model_similarity,model_similarity2
pair_1,Like so many others who do this there is a learning curve and I'm excited to do it.,"Out of all the laptops I have owned, this is by far the best!",Laptop,Same,2.75,0.7924951379614841,0.7924951910972595
pair_10,"It takes less time to power up, and if you just close the case it go into sleep mode.","Boot time is super fast, around anywhere from 35 seconds to 1 minute.",Laptop,Same,3.0,-0.07704796899968458,-0.07704798132181168
pair_100,I would recommend it to anyone.,I would not hesitate recommending  this to anyone.,Laptop,Same,3.75,0.9352561938009806,0.9352562427520752
pair_1000,you are with a hot date and he/she has an urge for sushi...then this might be the place.,"the fish was fresh, though it was cut very thin.",Restaurant,Same,2.333333333,0.20534866558819365,0.2053486853837967
pair_1001,"the fish was fresh, though it was cut very thin.",had many dishes but the BEST was the lobster 3 ways.,Restaurant,Same,3.25,0.33660727505400323,0.3366072475910187
pair_1002,"the fish was fresh, though it was cut very thin.","Everything, and I mean everything on the menu is delectable.",Restaurant,Same,2.333333333,0.14408366246870885,0.1440836489200592
pair_1003,great service.,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,Restaurant,Same,3.25,0.7309942211632896,0.7309942245483398
pair_1004,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"The food is fantastic, and the waiting staff has been perfect every single time we've been there.",Restaurant,Same,3.5,0.9311258143547887,0.9311258792877197
pair_1005,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Two thumbs up!,Restaurant,Same,3.0,0.47031067135225557,0.47031068801879883
pair_1006,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Be sure to try the oyster roll.,Restaurant,Same,3.0,0.5882964067354229,0.5882965326309204
pair_1007,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Hands down, the best tuna I have ever had.",Restaurant,Same,3.0,0.8102217820110187,0.810221791267395
pair_1008,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi was excellent and the wait staff was quick.,Restaurant,Same,3.75,0.895914137939213,0.8959141969680786
pair_1009,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Good Sushi, High Price ",Restaurant,Same,2.5,0.7698592675568419,0.7698593139648438
pair_101,I would recommend it to anyone.,"If your looking to be a trendy hipster who can't live without a Mac, it's a great buy.",Laptop,Different,2.333333333,0.7183490300254437,0.7183490991592407
pair_1010,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Everything you want and more, very fresh.",Restaurant,Same,3.333333333,0.8488121669920697,0.8488121628761292
pair_1011,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi here is delicious!,Restaurant,Same,3.666666667,0.8914431338418727,0.8914432525634766
pair_1012,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Perfect on a cold day.,Restaurant,Same,2.5,0.6622058975785766,0.6622058153152466
pair_1013,I have eaten here three times and have found the quality and variety of the fish to be excellent.,– The food was not great & the waiters were rude.,Restaurant,Different,1.5,-0.44423565480503546,-0.44423574209213257
pair_1014,I have eaten here three times and have found the quality and variety of the fish to be excellent.,you are with a hot date and he/she has an urge for sushi...then this might be the place.,Restaurant,Same,3.0,0.5483746167933397,0.5483747124671936
pair_1015,I have eaten here three times and have found the quality and variety of the fish to be excellent.,They pay such detail to everything from miso soup to complex rolls.,Restaurant,Same,3.0,0.5868570669041904,0.5868570804595947
pair_1016,"However, the value and service are both severely lacking.","plus, i am allergic to rice, and the waitstaff was unbelievably accomodating -- didn't even bat an eye!",Restaurant,Different,1.8,0.31147635398062457,0.3114764094352722
pair_1017,"However, the value and service are both severely lacking.",and the waiter suggested a perfect sake!!,Restaurant,Different,1.25,-0.3370435294249947,-0.33704352378845215
pair_1018,"However, the value and service are both severely lacking.","The only problem would be the wait, but we usually just have a drink in the front while waiting.",Restaurant,Different,2.4,0.1426771025145992,0.14267711341381073
pair_1019,"However, the value and service are both severely lacking.",The nicest waiters in town.,Restaurant,Different,1.0,-0.35990396130224633,-0.3599039614200592
pair_102,I would recommend it to anyone.,"Out of all the laptops I have owned, this is by far the best!",Laptop,Same,3.0,0.7565331093451986,0.756533145904541
pair_1020,"However, the value and service are both severely lacking.","On weekends, you might have to wait for couple hours.",Restaurant,Different,3.0,0.04831755137924709,0.0483175590634346
pair_1021,"However, the value and service are both severely lacking.",The service was courteous and attentive.,Restaurant,Different,0.666666667,-0.2976325366577328,-0.29763251543045044
pair_1022,"However, the value and service are both severely lacking.",6pm on a Sat before a Broadway play and we were quickly seated and served.,Restaurant,Different,1.0,-0.24258476230868053,-0.2425847351551056
pair_1023,"However, the value and service are both severely lacking.",great service.,Restaurant,Different,0.333333333,-0.2503045573468268,-0.25030454993247986
pair_1024,"However, the value and service are both severely lacking.",The service ranges from mediocre to offensive.,Restaurant,Same,3.75,0.6453417659284096,0.6453416347503662
pair_1025,The service ranges from mediocre to offensive.,and the waiter suggested a perfect sake!!,Restaurant,Different,1.0,-0.2321016982100601,-0.232101708650589
pair_1026,The service ranges from mediocre to offensive.,"The only problem would be the wait, but we usually just have a drink in the front while waiting.",Restaurant,Different,2.25,0.09306664004552712,0.09306664764881134
pair_1027,The service ranges from mediocre to offensive.,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,Restaurant,Different,0.666666667,-0.17734722716252027,-0.17734724283218384
pair_1028,The service ranges from mediocre to offensive.,The nicest waiters in town.,Restaurant,Different,0.75,-0.24247755722768272,-0.24247756600379944
pair_1029,The service ranges from mediocre to offensive.,"On weekends, you might have to wait for couple hours.",Restaurant,Different,2.25,0.1513229965598364,0.15132302045822144
pair_103,I would recommend it to anyone.,The most disappointing purchase of my life!,Laptop,Different,0.333333333,-0.30965985437439203,-0.30965983867645264
pair_1030,The service ranges from mediocre to offensive.,The service was courteous and attentive.,Restaurant,Different,0.666666667,-0.10201746103595655,-0.10201746225357056
pair_1031,The service ranges from mediocre to offensive.,6pm on a Sat before a Broadway play and we were quickly seated and served.,Restaurant,Different,0.5,-0.17855778900574126,-0.17855776846408844
pair_1032,The service ranges from mediocre to offensive.,great service.,Restaurant,Different,0.25,-0.10045875206292698,-0.10045875608921051
pair_1033,Freshest sushi  – I love this restaurant.,Unbeatable sushi!,Restaurant,Same,3.666666667,0.8994281446138287,0.8994280099868774
pair_1034,Freshest sushi  – I love this restaurant.,"Melt in your mouth nigiri and sashmi, and very tasty rolls too.",Restaurant,Same,3.333333333,0.8644517346794792,0.8644516468048096
pair_1035,Freshest sushi  – I love this restaurant.,Be sure to try the oyster roll.,Restaurant,Same,3.0,0.56931513860395,0.5693151950836182
pair_1036,They pay such detail to everything from miso soup to complex rolls.,"I have been here, spent tons of money on a chef special dinner and it was a major dissappointment.",Restaurant,Different,0.666666667,-0.10075849264601788,-0.10075851529836655
pair_1037,They pay such detail to everything from miso soup to complex rolls.,Unbeatable sushi!,Restaurant,Same,2.4,0.504396785937114,0.5043967962265015
pair_1038,They pay such detail to everything from miso soup to complex rolls.,"Melt in your mouth nigiri and sashmi, and very tasty rolls too.",Restaurant,Same,3.0,0.586190721251529,0.5861907005310059
pair_1039,They pay such detail to everything from miso soup to complex rolls.,"Best food, phenominal service ",Restaurant,Same,3.0,0.5506729902206324,0.5506729483604431
pair_104,I would recommend it to anyone.,This computer is like...  I'm lost for words.,Laptop,Same,2.666666667,-0.2172846376704174,-0.21728463470935822
pair_1040,They pay such detail to everything from miso soup to complex rolls.,Green tea creme brulee gets better each time I have it.,Restaurant,Same,3.0,0.4434371827797223,0.4434371590614319
pair_1041,They pay such detail to everything from miso soup to complex rolls.,The best Chuwam Mushi I have ever had.,Restaurant,Same,2.75,0.442730394823289,0.4427304267883301
pair_1042,They pay such detail to everything from miso soup to complex rolls.,"the fish was fresh, though it was cut very thin.",Restaurant,Same,2.333333333,0.10744969524161152,0.10744968056678772
pair_1043,The sashimi was the freshest and most tender I have ever tasted.,"I have been here, spent tons of money on a chef special dinner and it was a major dissappointment.",Restaurant,Different,0.666666667,-0.19210742890184296,-0.1921074390411377
pair_1044,The sashimi was the freshest and most tender I have ever tasted.,Unbeatable sushi!,Restaurant,Same,3.333333333,0.7912260433022804,0.7912260293960571
pair_1045,The sashimi was the freshest and most tender I have ever tasted.,Two thumbs up!,Restaurant,Same,2.666666667,0.4550968882888724,0.4550968408584595
pair_1046,The sashimi was the freshest and most tender I have ever tasted.,This is right up there with places in Tokyo as far as the freshness is concerned.,Restaurant,Same,3.333333333,0.7199286611023337,0.7199286222457886
pair_1047,The sashimi was the freshest and most tender I have ever tasted.,"The sushi is as fresh as it comes?you'd think ocean was in their backyard, no joke!",Restaurant,Same,3.333333333,0.7034997484864823,0.7034997344017029
pair_1048,The sashimi was the freshest and most tender I have ever tasted.,The sushi was excellent and the wait staff was quick.,Restaurant,Same,3.25,0.823544495462467,0.8235445022583008
pair_1049,The sashimi was the freshest and most tender I have ever tasted.,Amazing Spanish Mackeral special appetizer and perfect box sushi (that eel with avodcao -- um um um).,Restaurant,Same,3.0,0.8289235953993054,0.8289235234260559
pair_105,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.",From time to time I get the 'spinning beach ball' that holds up progress.,Laptop,Different,1.0,0.5366709755148684,0.536670982837677
pair_1050,The sashimi was the freshest and most tender I have ever tasted.,"Their specialty rolls are impressive, though I can't remember what we had.",Restaurant,Same,2.666666667,0.5867394619717127,0.5867394208908081
pair_1051,Their apps are all delicious.,had many dishes but the BEST was the lobster 3 ways.,Restaurant,Same,2.4,0.7120550759698905,0.7120550870895386
pair_1052,Their apps are all delicious.,"Everything, and I mean everything on the menu is delectable.",Restaurant,Same,3.333333333,0.8357949950357708,0.8357950448989868
pair_1053,Their apps are all delicious.,Best Sushi in town.,Restaurant,Same,3.0,0.8285347172726731,0.828534722328186
pair_1054,Their apps are all delicious.,The sushi here is delicious!,Restaurant,Same,3.0,0.9180404995038458,0.9180405139923096
pair_1055,Their apps are all delicious.,Amazing Spanish Mackeral special appetizer and perfect box sushi (that eel with avodcao -- um um um).,Restaurant,Same,3.0,0.88921854381759,0.8892185091972351
pair_1056,Their apps are all delicious.,you are with a hot date and he/she has an urge for sushi...then this might be the place.,Restaurant,Same,2.5,0.5823153038409843,0.5823153853416443
pair_1057,You are bound to have a very charming time.,absolutely fabulous!!!,Restaurant,Same,3.75,0.8871862871090023,0.8871862888336182
pair_1058,You are bound to have a very charming time.,I don't know why anyone would want to write a great review about this place.,Restaurant,Different,1.333333333,-0.10850342039674388,-0.10850343108177185
pair_1059,You are bound to have a very charming time.,DONOT GO!,Restaurant,Different,0.5,0.07533106532505618,0.07533106207847595
pair_106,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.","Pros:  o It usually runs very smoothly, but Apple has an excellent support team that is always willing to help customers.",Laptop,Same,3.0,0.5185263253039413,0.5185263752937317
pair_1060,You are bound to have a very charming time.,VERY GOOD!,Restaurant,Same,3.4,0.9067619312559327,0.9067620635032654
pair_1061,You are bound to have a very charming time.,Never had one single problem there.,Restaurant,Same,3.5,0.633746838227093,0.633746862411499
pair_1062,You are bound to have a very charming time.,"Once you're inside, the real experience begins.",Restaurant,Same,1.333333333,0.4884614807908848,0.48846161365509033
pair_1063,You are bound to have a very charming time.,Cut to the chase - this is amazing!,Restaurant,Same,3.25,0.879351946939417,0.8793520331382751
pair_1064,You are bound to have a very charming time.,Blue Ribbon lives up to it's fantastic reputation.,Restaurant,Same,3.0,0.8746903775609292,0.8746905326843262
pair_1065,You are bound to have a very charming time.,I went here on a recommendation and will surely return time and time again.,Restaurant,Same,3.25,0.7958578996360305,0.7958579659461975
pair_1066,You are bound to have a very charming time.,What a find!,Restaurant,Same,2.5,0.8189194386000042,0.8189194202423096
pair_1067,You are bound to have a very charming time.,"There is only one place on the east coast that has it all, plus a lot more.",Restaurant,Same,3.0,0.5099729971848729,0.5099729299545288
pair_1068,You are bound to have a very charming time.,Well worth it ,Restaurant,Same,3.0,0.9245667615696623,0.9245667457580566
pair_1069,You are bound to have a very charming time.,I went there with a friend from out of town... and we were both very impressed!,Restaurant,Same,3.333333333,0.8903301233566933,0.8903301954269409
pair_107,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.","Well she was right, Whatever in the world took me so long to get a computer that just works.",Laptop,Same,2.75,0.5088850281496174,0.5088850855827332
pair_1070,You are bound to have a very charming time.,One of the best Sushi place in town.,Restaurant,Same,2.75,0.8566912562335223,0.8566914200782776
pair_1071,You are bound to have a very charming time.,"Its worth the wait, especially since they'll give you a call when the table is ready.",Restaurant,Same,3.0,0.8516512205873296,0.8516513109207153
pair_1072,You are bound to have a very charming time.,Always good.,Restaurant,Same,3.333333333,0.91214817124276,0.9121482372283936
pair_1073,You are bound to have a very charming time.,"I can't saybenough good things about this restaurant, and I can't wait for my next several visits.",Restaurant,Same,2.5,0.5737596035103729,0.5737596750259399
pair_1074,You are bound to have a very charming time.,Not recommanded!!!,Restaurant,Different,0.6,-0.2957046354351962,-0.29570460319519043
pair_1075,You are bound to have a very charming time.,It is not worth going at all and spend your money there!!!,Restaurant,Different,0.333333333,-0.4275739854856051,-0.4275740683078766
pair_1076,My g/f and I both agreed the food was very mediocre especially considering the price.,"Excellent food, nice ambience, fairly expensive",Restaurant,Different,1.333333333,-0.48139539454103786,-0.4813953638076782
