pair_id,model_similarity
pair_1,0.051652288
pair_10,-0.021379774
pair_100,0.543753147
pair_1000,-0.076756739
pair_1001,0.136206154
pair_1002,0.012998568
pair_1003,-0.088823028
pair_1004,0.251452749
pair_1005,-0.154779404
pair_1006,-0.014859367
pair_1007,0.063079706
pair_1008,0.103675083
pair_1009,-0.071176409
pair_101,-0.049493544
pair_1010,-0.060431782
pair_1011,0.11671278
pair_1012,-0.098883737
pair_1013,0.101806365
pair_1014,-0.050471543
pair_1015,-0.006527492
pair_1016,-0.131419673
pair_1017,-0.049051883
pair_1018,-0.12258441
pair_1019,-0.070076138
pair_102,0.007349648
pair_1020,-0.046263747
pair_1021,0.12694986
pair_1022,-0.086101265
pair_1023,0.028645784
pair_1024,0.182764572
pair_1025,0.045217461
pair_1026,-0.123884936
pair_1027,-0.004010057
pair_1028,0.03465016
pair_1029,-0.034292454
pair_103,0.077708317
pair_1030,0.275305043
pair_1031,-0.086587789
pair_1032,0.079075075
pair_1033,0.209539923
pair_1034,0.097058634
pair_1035,0.156611745
pair_1036,0.005048213
pair_1037,-0.044519678
pair_1038,0.185257371
pair_1039,-0.012432687
pair_104,0.028872503
pair_1040,0.035805205
pair_1041,-0.027256579
pair_1042,0.009902349
pair_1043,0.033375574
pair_1044,-0.038145029
pair_1045,-0.155014073
pair_1046,-0.028540526
pair_1047,0.032052871
pair_1048,0.161884978
pair_1049,-0.04852364
pair_105,-0.013172357
pair_1050,0.05979766
pair_1051,0.085580745
pair_1052,0.209448987
pair_1053,0.14330062
pair_1054,0.470624707
pair_1055,-0.133706301
pair_1056,-0.080465949
pair_1057,0.09621014
pair_1058,-0.045272876
pair_1059,-0.112236503
pair_106,-0.093503249
pair_1060,0.140573965
pair_1061,0.072215867
pair_1062,0.10598374
pair_1063,0.024610301
pair_1064,0.221173067
pair_1065,0.066008733
pair_1066,0.091912408
pair_1067,-0.099915304
pair_1068,0.15307166
pair_1069,0.05499036
pair_107,-0.104050285
pair_1070,0.15103823
pair_1071,0.071747364
pair_1072,0.164841502
pair_1073,-0.070356036
pair_1074,-0.124724218
pair_1075,0.007844202
pair_1076,-0.017823492
pair_1077,0.110982818
pair_1078,-0.037311054
pair_1079,0.080795516
pair_108,0.052232425
pair_1080,0.105280503
pair_1081,-0.000783119
pair_1082,0.001044979
pair_1083,0.115672804
pair_1084,0.012922803
pair_1085,0.081374371
pair_1086,0.074040777
pair_1087,0.088044046
pair_1088,-0.145879086
pair_1089,0.093482765
pair_109,-0.035115218
pair_1090,0.194853047
pair_1091,-0.057133192
pair_1092,0.239229987
pair_1093,0.089100582
pair_1094,0.076173165
pair_1095,0.119311953
pair_1096,-0.058445297
pair_1097,0.158168594
pair_1098,-0.058147307
pair_1099,0.17647176
pair_11,-0.0208253
pair_110,-0.094006483
pair_1100,-0.093899535
