pair_id,sent1_text,sent2_text,domain,group,avg,model_similarity,model_similarity2
pair_1,Like so many others who do this there is a learning curve and I'm excited to do it.,"Out of all the laptops I have owned, this is by far the best!",Laptop,Same,2.75,0.6946608498306102,0.6946609020233154
pair_10,"It takes less time to power up, and if you just close the case it go into sleep mode.","Boot time is super fast, around anywhere from 35 seconds to 1 minute.",Laptop,Same,3.0,-0.30565596047845145,-0.30565595626831055
pair_100,I would recommend it to anyone.,I would not hesitate recommending  this to anyone.,Laptop,Same,3.75,0.9296431222127112,0.9296431541442871
pair_1000,you are with a hot date and he/she has an urge for sushi...then this might be the place.,"the fish was fresh, though it was cut very thin.",Restaurant,Same,2.333333333,0.35557606750278836,0.3555760979652405
pair_1001,"the fish was fresh, though it was cut very thin.",had many dishes but the BEST was the lobster 3 ways.,Restaurant,Same,3.25,0.20364055049126373,0.20364055037498474
pair_1002,"the fish was fresh, though it was cut very thin.","Everything, and I mean everything on the menu is delectable.",Restaurant,Same,2.333333333,-0.13002992361525112,-0.13002991676330566
pair_1003,great service.,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,Restaurant,Same,3.25,0.9192377680888218,0.9192378520965576
pair_1004,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"The food is fantastic, and the waiting staff has been perfect every single time we've been there.",Restaurant,Same,3.5,0.9646920114219193,0.964692234992981
pair_1005,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Two thumbs up!,Restaurant,Same,3.0,0.746484621429602,0.7464845776557922
pair_1006,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Be sure to try the oyster roll.,Restaurant,Same,3.0,0.2762260573017996,0.27622610330581665
pair_1007,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Hands down, the best tuna I have ever had.",Restaurant,Same,3.0,0.9081982123911768,0.908198356628418
pair_1008,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi was excellent and the wait staff was quick.,Restaurant,Same,3.75,0.9547489483967727,0.9547490477561951
pair_1009,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Good Sushi, High Price ",Restaurant,Same,2.5,0.9226489955462911,0.9226491451263428
pair_101,I would recommend it to anyone.,"If your looking to be a trendy hipster who can't live without a Mac, it's a great buy.",Laptop,Different,2.333333333,0.8029779937414645,0.802977979183197
pair_1010,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Everything you want and more, very fresh.",Restaurant,Same,3.333333333,0.9332817673515227,0.9332818984985352
pair_1011,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi here is delicious!,Restaurant,Same,3.666666667,0.946353468844006,0.946353554725647
pair_1012,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Perfect on a cold day.,Restaurant,Same,2.5,0.9026853023376171,0.9026854038238525
pair_1013,I have eaten here three times and have found the quality and variety of the fish to be excellent.,– The food was not great & the waiters were rude.,Restaurant,Different,1.5,-0.43523857315173187,-0.43523865938186646
pair_1014,I have eaten here three times and have found the quality and variety of the fish to be excellent.,you are with a hot date and he/she has an urge for sushi...then this might be the place.,Restaurant,Same,3.0,0.15672464134902575,0.15672466158866882
pair_1015,I have eaten here three times and have found the quality and variety of the fish to be excellent.,They pay such detail to everything from miso soup to complex rolls.,Restaurant,Same,3.0,0.8448313243041177,0.8448314666748047
pair_1016,"However, the value and service are both severely lacking.","plus, i am allergic to rice, and the waitstaff was unbelievably accomodating -- didn't even bat an eye!",Restaurant,Different,1.8,-0.14121903244453882,-0.14121904969215393
pair_1017,"However, the value and service are both severely lacking.",and the waiter suggested a perfect sake!!,Restaurant,Different,1.25,-0.3681238657940247,-0.3681239187717438
pair_1018,"However, the value and service are both severely lacking.","The only problem would be the wait, but we usually just have a drink in the front while waiting.",Restaurant,Different,2.4,-0.26967331302925723,-0.26967328786849976
pair_1019,"However, the value and service are both severely lacking.",The nicest waiters in town.,Restaurant,Different,1.0,-0.40145790482802335,-0.40145793557167053
pair_102,I would recommend it to anyone.,"Out of all the laptops I have owned, this is by far the best!",Laptop,Same,3.0,0.8123674628052772,0.8123674988746643
pair_1020,"However, the value and service are both severely lacking.","On weekends, you might have to wait for couple hours.",Restaurant,Different,3.0,0.4418636792448012,0.4418637156486511
pair_1021,"However, the value and service are both severely lacking.",The service was courteous and attentive.,Restaurant,Different,0.666666667,-0.4171398832433302,-0.4171398878097534
pair_1022,"However, the value and service are both severely lacking.",6pm on a Sat before a Broadway play and we were quickly seated and served.,Restaurant,Different,1.0,-0.2502469508264058,-0.25024697184562683
pair_1023,"However, the value and service are both severely lacking.",great service.,Restaurant,Different,0.333333333,-0.40143506983871347,-0.40143507719039917
pair_1024,"However, the value and service are both severely lacking.",The service ranges from mediocre to offensive.,Restaurant,Same,3.75,0.7955790506254741,0.7955791354179382
pair_1025,The service ranges from mediocre to offensive.,and the waiter suggested a perfect sake!!,Restaurant,Different,1.0,-0.34058060021612646,-0.34058064222335815
pair_1026,The service ranges from mediocre to offensive.,"The only problem would be the wait, but we usually just have a drink in the front while waiting.",Restaurant,Different,2.25,-0.23161254402656306,-0.23161256313323975
pair_1027,The service ranges from mediocre to offensive.,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,Restaurant,Different,0.666666667,-0.3297175731143527,-0.32971757650375366
pair_1028,The service ranges from mediocre to offensive.,The nicest waiters in town.,Restaurant,Different,0.75,-0.35605473349397654,-0.35605478286743164
pair_1029,The service ranges from mediocre to offensive.,"On weekends, you might have to wait for couple hours.",Restaurant,Different,2.25,0.4693202497305271,0.4693203568458557
pair_103,I would recommend it to anyone.,The most disappointing purchase of my life!,Laptop,Different,0.333333333,-0.3660851892510353,-0.3660852015018463
pair_1030,The service ranges from mediocre to offensive.,The service was courteous and attentive.,Restaurant,Different,0.666666667,-0.3223197672587945,-0.32231980562210083
pair_1031,The service ranges from mediocre to offensive.,6pm on a Sat before a Broadway play and we were quickly seated and served.,Restaurant,Different,0.5,-0.2250148111161554,-0.2250148355960846
pair_1032,The service ranges from mediocre to offensive.,great service.,Restaurant,Different,0.25,-0.32152208158025175,-0.32152214646339417
pair_1033,Freshest sushi  – I love this restaurant.,Unbeatable sushi!,Restaurant,Same,3.666666667,0.9674600742570866,0.9674601554870605
pair_1034,Freshest sushi  – I love this restaurant.,"Melt in your mouth nigiri and sashmi, and very tasty rolls too.",Restaurant,Same,3.333333333,0.25383937598827955,0.253839373588562
