pair_id,sent1_text,sent2_text,domain,group,avg,model_similarity,model_similarity2
pair_1,Like so many others who do this there is a learning curve and I'm excited to do it.,"Out of all the laptops I have owned, this is by far the best!",Laptop,Same,2.75,0.5708447795648183,0.5708447694778442
pair_10,"It takes less time to power up, and if you just close the case it go into sleep mode.","Boot time is super fast, around anywhere from 35 seconds to 1 minute.",Laptop,Same,3.0,0.23082697634019655,0.23082700371742249
pair_100,I would recommend it to anyone.,I would not hesitate recommending  this to anyone.,Laptop,Same,3.75,0.9175529422699855,0.9175528287887573
pair_1000,you are with a hot date and he/she has an urge for sushi...then this might be the place.,"the fish was fresh, though it was cut very thin.",Restaurant,Same,2.333333333,0.21669697852015912,0.21669697761535645
pair_1001,"the fish was fresh, though it was cut very thin.",had many dishes but the BEST was the lobster 3 ways.,Restaurant,Same,3.25,0.3902445815389135,0.39024460315704346
pair_1002,"the fish was fresh, though it was cut very thin.","Everything, and I mean everything on the menu is delectable.",Restaurant,Same,2.333333333,0.2637897171611029,0.26378971338272095
pair_1003,great service.,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,Restaurant,Same,3.25,0.6360244278942113,0.6360243558883667
pair_1004,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"The food is fantastic, and the waiting staff has been perfect every single time we've been there.",Restaurant,Same,3.5,0.7345125010930851,0.734512448310852
pair_1005,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Two thumbs up!,Restaurant,Same,3.0,0.23463229521672058,0.23463228344917297
pair_1006,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Be sure to try the oyster roll.,Restaurant,Same,3.0,0.3425111554232887,0.3425111472606659
pair_1007,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Hands down, the best tuna I have ever had.",Restaurant,Same,3.0,0.4085972075499722,0.4085971713066101
pair_1008,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi was excellent and the wait staff was quick.,Restaurant,Same,3.75,0.6663678132584039,0.666367769241333
pair_1009,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Good Sushi, High Price ",Restaurant,Same,2.5,0.5571250249041911,0.5571250319480896
pair_101,I would recommend it to anyone.,"If your looking to be a trendy hipster who can't live without a Mac, it's a great buy.",Laptop,Different,2.333333333,0.5511007554658092,0.5511007308959961
pair_1010,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"Everything you want and more, very fresh.",Restaurant,Same,3.333333333,0.5488169674400107,0.5488169193267822
pair_1011,I have eaten here three times and have found the quality and variety of the fish to be excellent.,The sushi here is delicious!,Restaurant,Same,3.666666667,0.6145995700231963,0.6145995259284973
pair_1012,I have eaten here three times and have found the quality and variety of the fish to be excellent.,Perfect on a cold day.,Restaurant,Same,2.5,0.4487090609552912,0.4487091302871704
pair_1013,I have eaten here three times and have found the quality and variety of the fish to be excellent.,– The food was not great & the waiters were rude.,Restaurant,Different,1.5,0.052649275764771075,0.05264926701784134
pair_1014,I have eaten here three times and have found the quality and variety of the fish to be excellent.,you are with a hot date and he/she has an urge for sushi...then this might be the place.,Restaurant,Same,3.0,0.3458538101155699,0.3458538055419922
pair_1015,I have eaten here three times and have found the quality and variety of the fish to be excellent.,They pay such detail to everything from miso soup to complex rolls.,Restaurant,Same,3.0,0.4208237272774422,0.42082369327545166
