pair_id,model_similarity
pair_1,0.279555912
pair_10,0.321172741
pair_100,0.61753223
pair_1000,0.287796961
pair_1001,0.303353353
pair_1002,0.282208629
pair_1003,0.26871858
pair_1004,0.306745292
pair_1005,0.298431501
pair_1006,0.284000943
pair_1007,0.306143604
pair_1008,0.329035979
pair_1009,0.298433374
pair_101,0.27759554
pair_1010,0.274936447
pair_1011,0.281380043
pair_1012,0.2926712
pair_1013,0.293849366
pair_1014,0.27610441
pair_1015,0.283740245
pair_1016,0.279617729
pair_1017,0.273740352
pair_1018,0.274205024
pair_1019,0.256009662
pair_102,0.270872051
pair_1020,0.275748908
pair_1021,0.342749637
pair_1022,0.271062923
pair_1023,0.352377858
pair_1024,0.358953952
pair_1025,0.268484475
pair_1026,0.267800227
pair_1027,0.270007868
pair_1028,0.263468655
pair_1029,0.267881599
pair_103,0.276114912
pair_1030,0.360121561
pair_1031,0.268889698
pair_1032,0.381699483
pair_1033,0.417489404
pair_1034,0.312084559
pair_1035,0.287104785
pair_1036,0.287393716
pair_1037,0.290854674
pair_1038,0.354896029
pair_1039,0.283184145
pair_104,0.279361088
pair_1040,0.300241177
pair_1041,0.279161786
pair_1042,0.288122321
pair_1043,0.277584022
pair_1044,0.317293922
pair_1045,0.257825903
pair_1046,0.291055853
pair_1047,0.315350537
pair_1048,0.301624187
pair_1049,0.303123672
pair_105,0.334767006
pair_1050,0.279895452
pair_1051,0.297908428
pair_1052,0.332362366
pair_1053,0.289014358
pair_1054,0.512316647
pair_1055,0.300783144
pair_1056,0.280455025
pair_1057,0.291904911
pair_1058,0.283053854
pair_1059,0.265542842
pair_106,0.279783626
pair_1060,0.273755527
pair_1061,0.276932775
pair_1062,0.278041111
pair_1063,0.282833199
pair_1064,0.272686282
pair_1065,0.4122372
pair_1066,0.264989538
pair_1067,0.282596266
pair_1068,0.263054048
pair_1069,0.279018927
pair_107,0.290024103
pair_1070,0.285204632
pair_1071,0.280018765
pair_1072,0.286563668
pair_1073,0.277871375
pair_1074,0
pair_1075,0.282666639
pair_1076,0.362566289
pair_1077,0.27454747
pair_1078,0.280897148
pair_1079,0.330762226
pair_108,0.272486659
pair_1080,0.298509374
pair_1081,0.28584094
pair_1082,0.291363595
pair_1083,0.310941313
pair_1084,0.314799254
pair_1085,0.287489077
pair_1086,0.281402435
pair_1087,0.329654597
pair_1088,0.272259613
pair_1089,0.271878908
pair_109,0.327993662
pair_1090,0.292290265
pair_1091,0.299262719
pair_1092,0.299544481
pair_1093,0.284115695
pair_1094,0.315600507
pair_1095,0.293875474
pair_1096,0.279819362
pair_1097,0.274302308
pair_1098,0.283130869
pair_1099,0.304561034
pair_11,0.271952417
pair_110,0.275253221
pair_1100,0.265994968
pair_1101,0.326273064
pair_1102,0.292753441
pair_1103,0.279523065
pair_1104,0.323716112
pair_1105,0.365618357
pair_1106,0.313371387
pair_1107,0.293324837
pair_1108,0.301327125
pair_1109,0.293684241
pair_111,0.28523376
pair_1110,0.45149379
pair_1111,0.372804665
pair_1112,0.371816838
pair_1113,0.327106564
pair_1114,0.355638721
pair_1115,0.290790263
pair_1116,0.27144168
pair_1117,0.295833358
pair_1118,0.27541018
pair_1119,0.397264775
pair_112,0.325357227
pair_1120,0.32745983
pair_1121,0.291713776
pair_1122,0.352404887
pair_1123,0.340548843
pair_1124,0.262586612
pair_1125,0.260271873
pair_1126,0.28033907
pair_1127,0.28729417
pair_1128,0.275895817
pair_1129,0.299204246
pair_113,0.283466235
pair_1130,0.267841283
pair_1131,0.283588626
