"pair_id","sent1_id","sent2_id","group","domain","gold"
"pair_1","B0074703CM_102_ANONYMOUS:1","B0074703CM_288_ANONYMOUS:0","Same","laptop",2.75
"pair_10","B0074703CM_102_ANONYMOUS:4","B0074703CM_148_ANONYMOUS:1","Same","laptop",3
"pair_100","B0074703CM_145_ANONYMOUS:4","B0074703CM_227_ANONYMOUS:8","Same","laptop",3.75
"pair_1000","en_BlueRibbonSushi_478219447:1","en_BlueRibbonSushi_478219447:2","Same","restaurant",2.33333333333333
"pair_1001","en_BlueRibbonSushi_478219447:2","en_BlueRibbonSushi_478218337:3","Same","restaurant",3.25
"pair_1002","en_BlueRibbonSushi_478219447:2","en_BlueRibbonSushi_478218341:3","Same","restaurant",2.33333333333333
"pair_1003","en_BlueRibbonSushi_478219447:3","en_BlueRibbonSushi_478218341:4","Same","restaurant",3.25
"pair_1004","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218339:3","Same","restaurant",3.5
"pair_1005","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218340:1","Same","restaurant",3
"pair_1006","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218340:5","Same","restaurant",3
"pair_1007","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218342:3","Same","restaurant",3
"pair_1008","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218513:2","Same","restaurant",3.75
"pair_1009","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218518:0","Same","restaurant",2.5
"pair_101","B0074703CM_145_ANONYMOUS:4","B0074703CM_279_ANONYMOUS:5","Different","laptop",2.33333333333333
"pair_1010","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218519:2","Same","restaurant",3.33333333333333
"pair_1011","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218520:1","Same","restaurant",3.66666666666667
"pair_1012","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218715:4","Same","restaurant",2.5
"pair_1013","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478218901:1","Different","restaurant",1.5
